ID,sdfg
0131101,968,1
1131101,641,1
2232101,856,1
Hits: 19,Miss: 0,Score: 190
3122101,1363,1
4222101,884,1
5111101,1039,1
6211101,1088,1
Hits: 18,Miss: 1,Score: 180
7112101,2393,1
8211101,858,1
9321101,2973,2
9322202,4219,3
9322103,1344,2
9322204,2768,2
9322105,1678,2
9321206,3525,2
9321107,2589,2
9321208,2553,2
9322209,1556,2
9321110,4503,3
9322211,2021,2
9321212,1831,2
9321113,1496,2
9322214,1224,2
9321215,2267,2
9322116,2365,2
9322117,2995,3
9322118,3176,3
9321219,7443,5
9322220,4069,3
9322221,1711,2
9322122,1581,2
9321223,1981,2
9321224,4747,3
9321125,1324,2
9322126,1625,2
9321227,1648,2
9322228,5604,3
9321129,1645,2
9321130,4948,3
9322231,3433,3
9322132,1612,2
9321233,2404,2
9321134,2054,2
9322135,1935,2
9321236,1885,2
9322137,5693,5
9321138,1616,2
9321139,3212,2
9322240,3907,2
